# INTERNAL WORKING - NOT VERIFIED FOR EXTERNAL USE. Numbers pending attestation-stability per F1 discipline.
# Baseline: post-M-RI-16 remediated run (audit/out/attested-remediated-2026-08-02/, produced by rerun_remediated.py under rules.py sha256 33bf6bfb...86a7, the PREREGISTRATION §9 A2 re-pin; inputs read at HEAD 0139558 'M-RI-16-P2'; during this pass commit 59b8f39 'M-RI-16-P3' landed, committing those same outputs with input bytes unchanged).
# A3 recompute 2026-08-03: acq_secure_date_verbatim + temporal_class added per PREREGISTRATION §9 A3 (year-granular; classes pre-declared before join); source crm_acq_dates.json sha256 480c2752...ebedd
pin,finding,crm_status_verbatim,held_rule,assessor_max_year,owner_name_verbatim,mail_name_verbatim,annual_tax_sale_years,annual_sold_at_sale_verbatim,annual_tax_amount_offered,annual_total_tax_and_penalty_offered,scavenger_tax_sale_years,scavenger_from_to_years,scavenger_total_amount_paid,citation,acq_secure_date_verbatim,temporal_class
25-29-406-008-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012; 2013; 2014,False; False; False; False,250.74; 545.37; 554.85; 643.52,299.62; 672.51; 685.51; 772.68,NULL,NULL,NULL,"55ju-2fs9 rows=4, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
25-32-115-051-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,COUNTY OF COOK DBA C,2011; 2013; 2014,True; True; False,2896.65; 2912.94; 2804.27,3586.95; 3601.46; 3387.08,2011,2008-2009,440,"55ju-2fs9 rows=3, ydgz-vkrp rows=1, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
28-10-119-025-0000,NON-EXEMPT-WHILE-HELD,Demolition Phase,H1,2026,SO SUB LAND/BK/DEV,LKDM LLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
28-10-400-051-0000,DELINQUENT-WHILE-HELD,Listed,H1,2026,SO SUB LAND/BK/DEV,MALECKY BUILDERS,2011; 2012; 2013; 2014,False; False; False; False,820.83; 873.38; 914.53; 1017.73,1042.41; 1077.53; 1128.94; 1223.29,2013,2009-2011,490,"55ju-2fs9 rows=4, ydgz-vkrp rows=1, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
28-10-400-053-0000,DELINQUENT-WHILE-HELD,Listed,H1,2026,SO SUB LAND/BK/DEV,JAMES MALECKY,2011,False,4268.06,5251.37,2013,2009-2011,440,"55ju-2fs9 rows=1, ydgz-vkrp rows=1, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
28-30-204-061-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
28-31-103-026-1028,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
28-32-300-031-0000,DELINQUENT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,2011; 2012; 2013; 2014,False; False; False; False,1819.77; 1916.98; 1980.22; 2169.58,2266.99; 2365.78; 2445.55; 2609.33,NULL,NULL,NULL,"55ju-2fs9 rows=4, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,ACQ-DATE-NULL
29-09-305-023-0000,DELINQUENT-WHILE-HELD,Listed,H2,2026,SOUTH HOLLAND VILLAGE,SOUTH SUBURBAN LAND BA,2011; 2013,False; False,2344.1; 2587.08,2925.58; 3194.43,2011,2007-2009,440,"55ju-2fs9 rows=2, ydgz-vkrp rows=1, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",2026-03-20,PRE-ACQUISITION
29-10-203-024-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
29-16-109-005-0000,NON-EXEMPT-WHILE-HELD,Secured Inventory - Active,H1,2026,SO SUB LAND/BK/DEV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55ju-2fs9 rows=0, ydgz-vkrp rows=0, 3723-97qp rows=28; retrieved 2026-08-02 / 2026-08-02 / 2026-08-02",NULL,N/A
