# INTERNAL WORKING - NOT VERIFIED FOR EXTERNAL USE. Numbers pending attestation-stability per F1 discipline.
# Baseline: post-M-RI-16 remediated run (audit/out/attested-remediated-2026-08-02/, produced by rerun_remediated.py under rules.py sha256 33bf6bfb...86a7, the PREREGISTRATION §9 A2 re-pin; inputs read at HEAD 0139558 'M-RI-16-P2'; during this pass commit 59b8f39 'M-RI-16-P3' landed, committing those same outputs with input bytes unchanged).
pin_verbatim,county_label,nc_reason,digit_count,structural_class,pin10_prefix_in_fetched_assessor,citation
21-14-01-116-015-0000,Cook,pin-format,16,MALFORMED (fails Cook 14-digit rule),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
21-14-02-208-011-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
21-14-02-210-010-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
21-14-02-214-008-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
21-14-02-219-001-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
21-14-13-102-007-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
23-15-03-300-003-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
23-15-03-413-019-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
23-15-05-113-046-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-02-115-016-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-03-423-010-0000,Cook,pin-format,16,MALFORMED (fails Cook 14-digit rule),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-03-426-010-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-03-426-011-0000,Cook,pin-format,16,MALFORMED (fails Cook 14-digit rule),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-09-203-003-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-09-401-034-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-09-417-022-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-10-232-018-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-10-322-018-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-10-426-011-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-11-300-025-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-14-103-001-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-114-021-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-122-007-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-129-008-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-129-021-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-200-040-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-201-023-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
30-07-15-204-007-0000,Will,pin-format,16,UNRESOLVABLE-FROM-DISK (no Will structural rule on disk; never queried — no Will dataset fetched),no,crm_inventory.json field USER_ppn/USER_county extracted 2026-08-02; adjacency vs 3723-97qp field pin10 retrieved 2026-08-02
